"Date et heure","Date et heure(RAW)","Total","Total(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/09/2024 00:00:00 - 01:00:00","45547.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 01:00:00 - 02:00:00","45548.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 02:00:00 - 03:00:00","45548.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 03:00:00 - 04:00:00","45548.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 04:00:00 - 05:00:00","45548.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 05:00:00 - 06:00:00","45548.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 06:00:00 - 07:00:00","45548.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 07:00:00 - 08:00:00","45548.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 08:00:00 - 09:00:00","45548.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 09:00:00 - 10:00:00","45548.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 10:00:00 - 11:00:00","45548.3750000000","3 %","2.8333","0 %","0.0000","100 %","0000010000"
"13/09/2024 11:00:00 - 12:00:00","45548.4166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 12:00:00 - 13:00:00","45548.4583333333","3 %","3.3333","0 %","0.0000","100 %","0000010000"
"13/09/2024 13:00:00 - 14:00:00","45548.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 14:00:00 - 15:00:00","45548.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 15:00:00 - 16:00:00","45548.5833333333","4 %","3.6667","0 %","0.0000","100 %","0000010000"
"13/09/2024 16:00:00 - 17:00:00","45548.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 17:00:00 - 18:00:00","45548.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 18:00:00 - 19:00:00","45548.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 19:00:00 - 20:00:00","45548.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 20:00:00 - 21:00:00","45548.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 21:00:00 - 22:00:00","45548.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 22:00:00 - 23:00:00","45548.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"13/09/2024 23:00:00 - 00:00:00","45548.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 00:00:00 - 01:00:00","45548.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 01:00:00 - 02:00:00","45549.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 02:00:00 - 03:00:00","45549.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 03:00:00 - 04:00:00","45549.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 04:00:00 - 05:00:00","45549.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 05:00:00 - 06:00:00","45549.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 06:00:00 - 07:00:00","45549.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 07:00:00 - 08:00:00","45549.2500000000","4 %","3.6667","0 %","0.0000","100 %","0000010000"
"14/09/2024 08:00:00 - 09:00:00","45549.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 09:00:00 - 10:00:00","45549.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 10:00:00 - 11:00:00","45549.3750000000","4 %","3.5000","0 %","0.0000","100 %","0000010000"
"14/09/2024 11:00:00 - 12:00:00","45549.4166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 12:00:00 - 13:00:00","45549.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 13:00:00 - 14:00:00","45549.5000000000","4 %","3.6667","0 %","0.0000","100 %","0000010000"
"14/09/2024 14:00:00 - 15:00:00","45549.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 15:00:00 - 16:00:00","45549.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 16:00:00 - 17:00:00","45549.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 17:00:00 - 18:00:00","45549.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 18:00:00 - 19:00:00","45549.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 19:00:00 - 20:00:00","45549.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 20:00:00 - 21:00:00","45549.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 21:00:00 - 22:00:00","45549.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 22:00:00 - 23:00:00","45549.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/09/2024 23:00:00 - 00:00:00","45549.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 00:00:00 - 01:00:00","45549.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 01:00:00 - 02:00:00","45550.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 02:00:00 - 03:00:00","45550.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 03:00:00 - 04:00:00","45550.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 04:00:00 - 05:00:00","45550.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 05:00:00 - 06:00:00","45550.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 06:00:00 - 07:00:00","45550.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 07:00:00 - 08:00:00","45550.2500000000","4 %","3.6667","0 %","0.0000","100 %","0000010000"
"15/09/2024 08:00:00 - 09:00:00","45550.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 09:00:00 - 10:00:00","45550.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 10:00:00 - 11:00:00","45550.3750000000","4 %","3.5000","0 %","0.0000","100 %","0000010000"
"15/09/2024 11:00:00 - 12:00:00","45550.4166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 12:00:00 - 13:00:00","45550.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 13:00:00 - 14:00:00","45550.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 14:00:00 - 15:00:00","45550.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 15:00:00 - 16:00:00","45550.5833333333","4 %","3.6667","0 %","0.0000","100 %","0000010000"
"15/09/2024 16:00:00 - 17:00:00","45550.6250000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 17:00:00 - 18:00:00","45550.6666666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 18:00:00 - 19:00:00","45550.7083333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 19:00:00 - 20:00:00","45550.7500000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 20:00:00 - 21:00:00","45550.7916666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 21:00:00 - 22:00:00","45550.8333333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 22:00:00 - 23:00:00","45550.8750000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"15/09/2024 23:00:00 - 00:00:00","45550.9166666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 00:00:00 - 01:00:00","45550.9583333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 01:00:00 - 02:00:00","45551.0000000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 02:00:00 - 03:00:00","45551.0416666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 03:00:00 - 04:00:00","45551.0833333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 04:00:00 - 05:00:00","45551.1250000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 05:00:00 - 06:00:00","45551.1666666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 06:00:00 - 07:00:00","45551.2083333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 07:00:00 - 08:00:00","45551.2500000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 08:00:00 - 09:00:00","45551.2916666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 09:00:00 - 10:00:00","45551.3333333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 10:00:00 - 11:00:00","45551.3750000000","4 %","4.5000","0 %","0.0000","100 %","0000010000"
"16/09/2024 11:00:00 - 12:00:00","45551.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 12:00:00 - 13:00:00","45551.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 13:00:00 - 14:00:00","45551.5000000000","4 %","4.1667","0 %","0.0000","100 %","0000010000"
"16/09/2024 14:00:00 - 15:00:00","45551.5416666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 15:00:00 - 16:00:00","45551.5833333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 16:00:00 - 17:00:00","45551.6250000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 17:00:00 - 18:00:00","45551.6666666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 18:00:00 - 19:00:00","45551.7083333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 19:00:00 - 20:00:00","45551.7500000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 20:00:00 - 21:00:00","45551.7916666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 21:00:00 - 22:00:00","45551.8333333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 22:00:00 - 23:00:00","45551.8750000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 23:00:00 - 00:00:00","45551.9166666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 00:00:00 - 01:00:00","45551.9583333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 01:00:00 - 02:00:00","45552.0000000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 02:00:00 - 03:00:00","45552.0416666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 03:00:00 - 04:00:00","45552.0833333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 04:00:00 - 05:00:00","45552.1250000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 05:00:00 - 06:00:00","45552.1666666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 06:00:00 - 07:00:00","45552.2083333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 07:00:00 - 08:00:00","45552.2500000000","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 08:00:00 - 09:00:00","45552.2916666667","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 09:00:00 - 10:00:00","45552.3333333333","5 %","5.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 10:00:00 - 11:00:00","45552.3750000000","4 %","4.5000","0 %","0.0000","100 %","0000010000"
"17/09/2024 11:00:00 - 12:00:00","45552.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 12:00:00 - 13:00:00","45552.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 13:00:00 - 14:00:00","45552.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 14:00:00 - 15:00:00","45552.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 15:00:00 - 16:00:00","45552.5833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 16:00:00 - 17:00:00","45552.6250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 17:00:00 - 18:00:00","45552.6666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 18:00:00 - 19:00:00","45552.7083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 19:00:00 - 20:00:00","45552.7500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 20:00:00 - 21:00:00","45552.7916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 21:00:00 - 22:00:00","45552.8333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 22:00:00 - 23:00:00","45552.8750000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"17/09/2024 23:00:00 - 00:00:00","45552.9166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 00:00:00 - 01:00:00","45552.9583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 01:00:00 - 02:00:00","45553.0000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 02:00:00 - 03:00:00","45553.0416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 03:00:00 - 04:00:00","45553.0833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 04:00:00 - 05:00:00","45553.1250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 05:00:00 - 06:00:00","45553.1666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 06:00:00 - 07:00:00","45553.2083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 07:00:00 - 08:00:00","45553.2500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 08:00:00 - 09:00:00","45553.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 09:00:00 - 10:00:00","45553.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 10:00:00 - 11:00:00","45553.3750000000","4 %","3.6667","0 %","0.0000","100 %","0000010000"
"18/09/2024 11:00:00 - 12:00:00","45553.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 12:00:00 - 13:00:00","45553.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 13:00:00 - 14:00:00","45553.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 14:00:00 - 15:00:00","45553.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 15:00:00 - 16:00:00","45553.5833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 16:00:00 - 17:00:00","45553.6250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 17:00:00 - 18:00:00","45553.6666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 18:00:00 - 19:00:00","45553.7083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 19:00:00 - 20:00:00","45553.7500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 20:00:00 - 21:00:00","45553.7916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 21:00:00 - 22:00:00","45553.8333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 22:00:00 - 23:00:00","45553.8750000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"18/09/2024 23:00:00 - 00:00:00","45553.9166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 00:00:00 - 01:00:00","45553.9583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 01:00:00 - 02:00:00","45554.0000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 02:00:00 - 03:00:00","45554.0416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 03:00:00 - 04:00:00","45554.0833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 04:00:00 - 05:00:00","45554.1250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 05:00:00 - 06:00:00","45554.1666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 06:00:00 - 07:00:00","45554.2083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 07:00:00 - 08:00:00","45554.2500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 08:00:00 - 09:00:00","45554.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 09:00:00 - 10:00:00","45554.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 10:00:00 - 11:00:00","45554.3750000000","4 %","3.8333","0 %","0.0000","100 %","0000010000"
"19/09/2024 11:00:00 - 12:00:00","45554.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 12:00:00 - 13:00:00","45554.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 13:00:00 - 14:00:00","45554.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 14:00:00 - 15:00:00","45554.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 15:00:00 - 16:00:00","45554.5833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 16:00:00 - 17:00:00","45554.6250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 17:00:00 - 18:00:00","45554.6666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 18:00:00 - 19:00:00","45554.7083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 19:00:00 - 20:00:00","45554.7500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 20:00:00 - 21:00:00","45554.7916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 21:00:00 - 22:00:00","45554.8333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 22:00:00 - 23:00:00","45554.8750000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 23:00:00 - 00:00:00","45554.9166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 00:00:00 - 01:00:00","45554.9583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 01:00:00 - 02:00:00","45555.0000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 02:00:00 - 03:00:00","45555.0416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 03:00:00 - 04:00:00","45555.0833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 04:00:00 - 05:00:00","45555.1250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 05:00:00 - 06:00:00","45555.1666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 06:00:00 - 07:00:00","45555.2083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 07:00:00 - 08:00:00","45555.2500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 08:00:00 - 09:00:00","45555.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 09:00:00 - 10:00:00","45555.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 10:00:00 - 11:00:00","45555.3750000000","4 %","3.8333","0 %","0.0000","100 %","0000010000"
"20/09/2024 11:00:00 - 12:00:00","45555.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 12:00:00 - 13:00:00","45555.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 13:00:00 - 14:00:00","45555.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 14:00:00 - 15:00:00","45555.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 15:00:00 - 16:00:00","45555.5833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 16:00:00 - 17:00:00","45555.6250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 17:00:00 - 18:00:00","45555.6666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 18:00:00 - 19:00:00","45555.7083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 19:00:00 - 20:00:00","45555.7500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 20:00:00 - 21:00:00","45555.7916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 21:00:00 - 22:00:00","45555.8333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 22:00:00 - 23:00:00","45555.8750000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"20/09/2024 23:00:00 - 00:00:00","45555.9166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 00:00:00 - 01:00:00","45555.9583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 01:00:00 - 02:00:00","45556.0000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 02:00:00 - 03:00:00","45556.0416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 03:00:00 - 04:00:00","45556.0833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 04:00:00 - 05:00:00","45556.1250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 05:00:00 - 06:00:00","45556.1666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 06:00:00 - 07:00:00","45556.2083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 07:00:00 - 08:00:00","45556.2500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 08:00:00 - 09:00:00","45556.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 09:00:00 - 10:00:00","45556.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 10:00:00 - 11:00:00","45556.3750000000","4 %","3.8333","0 %","0.0000","100 %","0000010000"
"21/09/2024 11:00:00 - 12:00:00","45556.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 12:00:00 - 13:00:00","45556.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 13:00:00 - 14:00:00","45556.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 14:00:00 - 15:00:00","45556.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 15:00:00 - 16:00:00","45556.5833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 16:00:00 - 17:00:00","45556.6250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 17:00:00 - 18:00:00","45556.6666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 18:00:00 - 19:00:00","45556.7083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 19:00:00 - 20:00:00","45556.7500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 20:00:00 - 21:00:00","45556.7916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 21:00:00 - 22:00:00","45556.8333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 22:00:00 - 23:00:00","45556.8750000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"21/09/2024 23:00:00 - 00:00:00","45556.9166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 00:00:00 - 01:00:00","45556.9583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 01:00:00 - 02:00:00","45557.0000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 02:00:00 - 03:00:00","45557.0416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 03:00:00 - 04:00:00","45557.0833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 04:00:00 - 05:00:00","45557.1250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 05:00:00 - 06:00:00","45557.1666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 06:00:00 - 07:00:00","45557.2083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 07:00:00 - 08:00:00","45557.2500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 08:00:00 - 09:00:00","45557.2916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 09:00:00 - 10:00:00","45557.3333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 10:00:00 - 11:00:00","45557.3750000000","4 %","3.8333","0 %","0.0000","100 %","0000010000"
"22/09/2024 11:00:00 - 12:00:00","45557.4166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 12:00:00 - 13:00:00","45557.4583333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 13:00:00 - 14:00:00","45557.5000000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 14:00:00 - 15:00:00","45557.5416666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 15:00:00 - 16:00:00","45557.5833333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 16:00:00 - 17:00:00","45557.6250000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 17:00:00 - 18:00:00","45557.6666666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 18:00:00 - 19:00:00","45557.7083333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 19:00:00 - 20:00:00","45557.7500000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 20:00:00 - 21:00:00","45557.7916666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 21:00:00 - 22:00:00","45557.8333333333","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 22:00:00 - 23:00:00","45557.8750000000","4 %","4.0000","0 %","0.0000","100 %","0000010000"
"22/09/2024 23:00:00 - 00:00:00","45557.9166666667","4 %","4.0000","0 %","0.0000","100 %","0000010000"
